Akaike Kaoru
Yamura Takechi
Yosano Nakazo
Yuasa Yoshinori
Akechi Keisuke
Ando Makoto
Arakida Hidetoshi
Atshushi Masami
Chiba Shiba
Fukuda Konoye
Fukumitsu Taisho
Fukushima Shichirobei
Hamacho Hisamitsu
Hiraoka Yasuoka
Horiuchi Kagetoki
Horiuchi Katsumi
Hyata Kyushichi
Imaizumi Toki
Inaba Sekien
Kamisaka Ippei
Kanesaka Katsuhito
Kate Yoshiteru
Kijimuta Hiro
Koyama Ryu
Kozu Hyosuke
Maeno Sumiteru
Makino Gombei
Matsuo Tekkan
Mifune Toshikazu
Miki Genichi
Minabuchi Kyushichi
Mitsukuri Heikichi
Mitsuya Tsutomu
Miyagi Ikku
Mutsu Michizane
Nakajima Shunji
Nakamoto Heikichi
Nishimuraya Nobuhiko
Nose Miyazaki
Ogyu Yoshitake
Onohara Haru
Ouchi Kinmochi
Sakurai Katsuyuki
Sekozawa Shinobu
Sunada Gempachi
Takasu Yasushi
Tayama Kagetoki
Tomori Seiichi
Tsujimura Jakuchu
Tsukahara Takeru
Tsukehara Shigemasa
Tsuruga Shiba
Tsuruya Eizo
Tsutomu Kikunojo
Akatsuka Junji
Akechi Bussho
Ando Kenji
Atshushi Toshiro
Doi Harumi
Hanari Takuma
Hojo Hirokumi
Ibu Baiko
Ishiyama Teinosuke
Isobe Isao
Kada Tsurayuki
Kanada Akihisa
Karube Tetsuya
Kinoshita Iemochi
Koiso Sessue
Koizumi Saneatsu
Kokan Yoshio
Komatsuzaki Matsuo
Konishi Tatsukichi
Kurmochi Gonkuro
Makuda Yasunari
Masoni Ieshige
Matsukata Katsuhito
Matsumara Isao
Mihashi Ryuzaburo
Minatoya Mutsuhito
Namiki Yasukazu
Nogushi Fumio
Nogushi Gekko
Ogyu Rintaro
Ohmiya Shuichi
Okita Hachemon
Saiki Yoshifumi
Sakoda Amane
Shidehara Kagetoki
Shigeki Kazuma
Shikitei Yuichi
Takano Hidekazu
Tamazaki Kazuma
Tenshin Kiyotaka
Tojo Mochihito
Tokuda Yoshinori
Torii Shiki
Torii Tatsuzo
Tsutaya Terumoto
Uesugi Tadiyuki
Ugaki Sadakuno
Urogataya Kikunojo
Yakuta Jun
Yano Kunimatsu
